Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Menciptakan Hidangan Fusion untuk Festival Kuliner Internasional,Lainnya,Jl. S Parman No. 2151-J Medan,Medan,Grand Swiss Belhotel,26-Dec-2023
Jelajah Keindahan Pulau Pisang,Wisata,"West Pesisir Regency, Lampung",Bandar Lampung,Banana Island,24-Dec-2023
Talkshow Trend Perhiasan 2024,Entertainment,"Magelang St No.32-34, Cokrodiningratan, Jetis, Yogyakarta City",DI Yogyakarta,Genius Idea Coworking Space,20-Dec-2023
Class Battle Dance,Lainnya,"Jl. Letkol Iskandar No.18, 24 Ilir, Kec. Bukit Kecil, Kota Palembang",Palembang,PIM Mall,19-Dec-2023
Belajar Tari Bali Bersama Ajik bagus,Musik,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Bali,The Evitel Resort Ubud,18-Dec-2023
Petualangan Menjelajah Kerajaan Melayu di Jambi untuk Arkeolog,Wisata,"Jalan Dr. T. Mansur No.9, Padang Bulan, Kec. Medan Baru, Kota Medan",Medan,Universitas Sumatera Utara,11-Dec-2023
Young Fashion Class,Entertainment,Jalan Kaptain A Rivai,Palembang,Batiqa Hotel,10-Dec-2023
Jelajah Keindahan Pulau Pisang,Wisata,"West Pesisir Regency, Lampung",Lampung,Pulau Pisang,23-Nov-2023
Kursus Kreativitas dan Seni untuk Anak,Lainnya,"Kompleks Asia Mega Mas Blok 12-12 A, Jl. Asia, Sukaramai II",Medan,Star Residence,22-Nov-2023
KOPDAR KOMUNITAS BARONGSAI,Education,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta",Surakarta,Orient Restaurant,19-Nov-2023
Coffee Fest Nov 2023,Lainnya,Jalan Sultan Mahmud Badaruddin,Palembang,Benteng Kuto Besak,09-Nov-2023
Kopdar Komunitas Pecinta Sejarah,Education,"Cafe Coco Madeleine. Jl. Sisingamangaraja No.21, Candi, Kec. Candisari",Semarang,coco madelaine,29-Oct-2023
